"birth"	"ts"	"remark"	"geoOrigin"	"parentId"	"QCStateLabel"	"medical"	"performedby"	"Description"	"gender"	"cage"	"prepaid"	"departdate"	"status"	"death"	"hold"	"sire"	"avail"	"project"	"calculated_status"	"dam"	"enddate"	"requestid"	"objectid"	"tbdate"	"room"	"weight"	"taskid"	"date"	"cond"	"Id"	"arrivedate"	"species"	"origin"	"wdate"	"v_status"	"account"	"spf"	"genNum"	"harvestDate"
"2008-10-28 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"F"	"4823741"	""	""	"alive"	""	""	"9468964"	"u"	""	"Alive"	"1636539"	""	""	"f47da6ac-7aae-102e-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.66"	""	"2008-10-28 00:00:00.0"	""	"TEST8533200"	""	"CMO"	"justo"	"2011-06-02 14:45:29.0"	""	""	"3"	""	""
"2008-11-27 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"F"	"2356557"	""	""	"alive"	""	""	"731451"	"ab"	""	"Alive"	"1712704"	""	""	"dbea7ea5-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.18"	""	"2008-11-27 00:00:00.0"	""	"TEST7407382"	""	"CMO"	"id duis"	"2011-06-02 14:45:29.0"	""	""	"0"	""	""
"2009-02-21 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"F"	"2356557"	""	""	"alive"	""	""	"TEST6390238"	"ab"	""	"Alive"	"TEST2312318"	""	""	"dbed0709-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"4.44"	""	"2009-02-21 00:00:00.0"	""	"TEST5598475"	""	"MMU"	"diam"	"2011-06-02 14:45:29.0"	""	""	""	""	""
"2009-02-24 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"M"	"3229246"	""	""	"alive"	""	""	"4891303"	"u"	""	"Alive"	"8982969"	""	""	"dbf323d9-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"4.7"	""	"2009-02-24 00:00:00.0"	""	"TEST1684145"	""	"CMO"	"est"	"2011-06-02 14:45:29.0"	""	""	"4"	""	""
"2009-02-28 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	"partial right leg amputation"	""	""	"F"	"396352"	""	""	"alive"	""	""	"9819418"	"u"	""	"Alive"	"3066209"	""	""	"dbecf779-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.74"	""	"2009-02-28 00:00:00.0"	""	"TEST4945025"	""	"CMO"	"in ultricies"	"2011-06-02 14:45:29.0"	""	""	""	""	""
"2009-04-25 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"F"	"1957452"	""	""	"alive"	""	""	"4778953"	"ab"	""	"Alive"	"690232"	""	""	"dbedf404-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.46"	""	"2009-04-25 00:00:00.0"	""	"TEST3137998"	""	"CMO"	"mauris"	"2011-06-02 14:45:29.0"	""	""	"4"	""	""
"2009-04-27 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"F"	"1957452"	""	""	"alive"	""	""	"2042908"	"ab"	""	"Alive"	"838626"	""	""	"dbeda7ec-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.62"	""	"2009-04-27 00:00:00.0"	""	"TEST7151371"	""	"CMO"	"fusce"	"2011-06-02 14:45:29.0"	""	""	"0"	""	""
"2009-05-13 00:00:00.0"	"2011-07-11 07:59:03.0"	""	""	""	"Completed"	""	""	""	"F"	"396352"	""	""	"alive"	""	""	"TEST6390238"	"ab"	""	"Alive"	"TEST2312318"	""	""	"dbee075a-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.5"	""	"2009-05-13 00:00:00.0"	""	"TEST5158984"	""	"MMU"	"amet"	"2011-06-02 14:45:29.0"	""	""	""	""	""
"2009-05-24 00:00:00.0"	"2011-08-04 07:35:59.0"	""	""	""	"Completed"	""	""	""	"F"	"4434662"	""	""	"alive"	""	""	"2480492"	"u"	""	"Alive"	"2001039"	""	""	"dbee8909-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.54"	""	"2009-05-24 00:00:00.0"	""	"TEST5131891"	""	"CMO"	"sociosqu"	"2011-06-02 14:45:29.0"	""	""	"1"	""	""
"2009-05-27 00:00:00.0"	"2011-08-04 07:35:26.0"	""	""	""	"Completed"	""	""	""	"F"	"4434662"	""	""	"alive"	""	""	"9468964"	"ab"	""	"Alive"	"6954679"	""	""	"dbee30d4-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-08 00:00:00.0"	"9288603"	"3.58"	""	"2009-05-27 00:00:00.0"	""	"TEST5409620"	""	"CMO"	"ipsum"	"2011-06-02 14:45:29.0"	""	""	"2"	""	""
"2009-06-04 00:00:00.0"	"2011-05-23 14:39:40.0"	""	""	""	"Completed"	""	""	""	"M"	"2003644"	""	""	"d-expr"	"2011-05-23 00:00:00.0"	""	"2042908"	"ar"	""	"Dead"	"7257197"	""	""	"dbee90d4-b8ba-102d-8c2a-9926f351b9ae"	"2011-01-11 00:00:00.0"	"2043365"	"2.97"	""	"2009-06-04 00:00:00.0"	""	"TEST9118022"	""	"CMO"	"at sapien"	"2011-05-23 10:29:00.0"	""	""	""	""	""
"2009-06-25 00:00:00.0"	"2011-09-15 15:40:28.0"	""	""	""	"Completed"	""	""	""	"M"	"9742026"	""	""	"alive"	""	""	"TEST6390238"	"u"	""	"Alive"	"TEST2312318"	""	""	"dbeea589-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-11 00:00:00.0"	"2043365"	"3.18"	""	"2009-06-25 00:00:00.0"	""	"TEST3771679"	""	"MMU"	"posuere"	"2011-06-28 09:56:00.0"	""	""	"3"	""	""
"2009-07-22 00:00:00.0"	"2011-09-15 15:40:35.0"	""	""	""	"Completed"	""	""	""	"M"	"9742026"	""	""	"alive"	""	""	""	"u"	""	"Alive"	"4597773"	""	""	"db3c9a34-7aae-102e-8c2a-9926f351b9ae"	"2011-07-11 00:00:00.0"	"2043365"	"3.69"	""	"2009-07-22 00:00:00.0"	""	"TEST4037096"	""	"CMO"	"lectus"	"2011-06-28 09:50:00.0"	""	""	"4"	""	""
"2009-08-02 00:00:00.0"	"2011-06-20 17:56:53.0"	""	""	""	"Completed"	""	""	""	"M"	"4420023"	""	""	"d-expr"	"2011-06-20 00:00:00.0"	""	"731544"	"ar"	""	"Dead"	"1256797"	""	""	"e1bbef52-7aae-102e-8c2a-9926f351b9ae"	"2011-01-18 00:00:00.0"	"297144"	"3.57"	""	"2009-08-02 00:00:00.0"	""	"TEST1441142"	""	"CMO"	"ullamcorper"	"2011-06-20 10:03:00.0"	""	""	""	""	""
"2009-08-03 00:00:00.0"	"2011-06-06 16:05:05.0"	""	""	""	"Completed"	""	""	""	"M"	"4434662"	""	""	"d-expr"	"2011-06-06 00:00:00.0"	""	"TEST6390238"	"ar"	""	"Dead"	"TEST2312318"	""	""	"dbefb914-b8ba-102d-8c2a-9926f351b9ae"	"2011-01-18 00:00:00.0"	"297144"	"3.56"	""	"2009-08-03 00:00:00.0"	""	"TEST3"	""	"MMU"	"semper"	"2011-06-06 09:00:00.0"	""	""	""	"2"	"2011-06-06 00:00:00.0"
"2009-08-10 00:00:00.0"	"2011-06-14 14:11:40.0"	""	""	""	"Completed"	""	""	""	"M"	"6217224"	""	""	"d-expr"	"2011-06-14 00:00:00.0"	""	"57307"	"ar"	""	"Dead"	"7166552"	""	""	"dbefd067-b8ba-102d-8c2a-9926f351b9ae"	"2011-01-18 00:00:00.0"	"2043365"	"3.73"	""	"2009-08-10 00:00:00.0"	""	"TEST1020148"	""	"MMU"	"sed"	"2011-06-14 08:45:00.0"	""	""	""	""	""
"2009-11-06 00:00:00.0"	"2011-07-27 16:58:48.0"	""	""	""	"Completed"	""	""	""	"M"	"100172"	""	""	"alive"	""	""	"731544"	"u"	""	"Alive"	"6914348"	""	""	"2a289dee-ceb7-102e-8c2a-9926f351b9ae"	"2011-07-20 00:00:00.0"	"9625074"	"2.86"	""	"2009-11-06 00:00:00.0"	""	"TEST1112911"	""	"CMO"	"neque"	"2011-06-01 09:40:00.0"	""	""	"4"	""	""
"2009-11-09 00:00:00.0"	"2011-07-20 14:26:06.0"	""	""	""	"Completed"	""	""	""	"M"	"778520"	""	""	"alive"	""	""	"3686702"	"ab"	""	"Alive"	"9719847"	""	""	"dbf1497e-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-20 00:00:00.0"	"9625074"	"2.75"	""	"2009-11-09 00:00:00.0"	""	"TEST727088"	""	"CMO"	"vestibulum"	"2011-06-01 09:40:00.0"	""	""	"3"	""	""
"2009-12-14 00:00:00.0"	"2011-07-27 14:27:43.0"	""	""	""	"Completed"	""	""	""	"M"	"8420664"	""	""	"d-expr"	"2011-07-27 00:00:00.0"	""	"4434585"	"ar"	""	"Dead"	"7877112"	""	""	"1e44fd4c-ceb7-102e-8c2a-9926f351b9ae"	"2011-07-20 00:00:00.0"	"9625074"	"3.2"	""	"2009-12-14 00:00:00.0"	""	"TEST3224553"	""	"CMO"	"vitae"	"2011-07-27 08:52:00.0"	""	""	""	""	""
"2010-01-02 00:00:00.0"	"2011-08-19 18:31:47.0"	""	""	""	"Completed"	""	""	""	"M"	"778520"	""	""	"alive"	""	""	"TEST6390238"	"u"	""	"Alive"	"TEST2312318"	""	""	"dbf17337-b8ba-102d-8c2a-9926f351b9ae"	"2011-07-20 00:00:00.0"	"9625074"	"2.81"	""	"2010-01-02 00:00:00.0"	""	"TEST3621582"	""	"MMU"	"nibh"	"2011-05-10 07:15:00.0"	""	""	"3"	""	""
"2010-09-10 00:00:00.0"	"2011-09-06 09:01:42.0"	""	""	""	"Completed"	""	""	""	"F"	"1957452"	""	""	"alive"	"2011-09-20 00:00:00.0"	""	"9516255"	"ar"	""	"Dead"	"7773678"	""	""	"b6ea43a9-7ae3-102e-8c2a-9926f351b9ae"	"2011-07-06 00:00:00.0"	"1737046"	"1.36"	""	"2010-09-10 00:00:00.0"	""	"TEST6700530"	""	"CMO"	"proin"	"2011-05-31 10:10:00.0"	""	""	""	""	""
"2010-09-16 00:00:00.0"	"2011-08-19 18:37:58.0"	""	""	""	"Completed"	""	""	""	"M"	"4962187"	""	""	"alive"	""	""	"2568235"	"u"	""	"Alive"	"5961588"	""	""	"bf724052-7ae3-102e-8c2a-9926f351b9ae"	"2011-07-06 00:00:00.0"	"5217677"	"2.08"	""	"2010-09-16 00:00:00.0"	""	"TEST6208376"	""	"CMO"	"porta"	"2011-05-31 10:10:00.0"	""	""	"1"	""	""
"2010-10-12 00:00:00.0"	"2011-08-29 15:31:57.0"	""	""	""	"Completed"	""	""	""	"F"	"8494027"	""	""	"alive"	""	""	"TEST6390238"	"ab"	""	"Alive"	"TEST2312318"	""	""	"9d16f7ba-cb9d-102e-8c2a-9926f351b9ae"	"2011-07-06 00:00:00.0"	"2341092"	"1.67"	""	"2010-10-12 00:00:00.0"	""	"TEST9195996"	""	"MMU"	"suspendisse"	"2011-06-06 11:00:00.0"	""	""	""	""	""
"2010-10-14 00:00:00.0"	"2011-08-29 15:31:40.0"	""	""	""	"Completed"	""	""	""	"M"	"8494027"	""	""	"alive"	""	""	"9516255"	"u"	""	"Alive"	"8739374"	""	""	"d04083dc-633b-102e-8c2a-9926f351b9ae"	"2011-07-06 00:00:00.0"	"2341092"	"1.64"	""	"2010-10-14 00:00:00.0"	""	"TEST8976544"	""	"CMO"	"purus"	"2011-06-06 11:00:00.0"	""	""	"2"	""	""
"2010-10-29 00:00:00.0"	"2011-08-29 15:31:33.0"	""	""	""	"Completed"	""	""	""	"F"	"8494027"	""	""	"alive"	""	""	"5748235"	"ab"	""	"Alive"	"TEST2312318"	""	""	"d5fc5c02-633b-102e-8c2a-9926f351b9ae"	"2011-07-06 00:00:00.0"	"2341092"	"1.74"	""	"2010-10-29 00:00:00.0"	""	"TEST3844307"	""	"MMU"	"cum"	"2011-06-06 11:00:00.0"	""	""	""	""	""
"1995-07-27 00:00:00.0"	"2011-08-15 09:30:27.0"	""	""	""	"Completed"	"siv+"	""	""	"F"	"4434662"	""	""	"alive"	""	""	"5748235"	"arv"	""	"Alive"	"8739374"	""	""	"7cdeed0a-d038-102d-8c2a-9926f351b9ae"	"2011-07-22 00:00:00.0"	"6824778"	"10.35"	""	"1995-07-27 00:00:00.0"	""	"TEST2312318"	""	"MMU"	"ullamcorper"	"2011-08-15 06:30:00.0"	""	""	""	""	""
"1985-05-02 00:00:00.0"	"2011-06-24 14:25:45.0"	""	""	""	"Completed"	""	""	""	"M"	"5426015"	""	""	"d-othr"	"2011-06-24 00:00:00.0"	""	"5409336"	"ant"	""	"Dead"	"3784452"	""	""	"dbebf720-b8ba-102d-8c2a-9926f351b9ae"	"2011-01-11 00:00:00.0"	"170990"	"8.44"	""	"1985-05-02 00:00:00.0"	""	"TEST1993532"	"2000-11-11 08:00:00.0"	"CMO"	"turpis"	"2011-06-24 00:00:00.0"	""	""	""	""	""
"2009-03-09 00:00:00.0"	"2011-05-13 05:59:00.0"	""	""	""	"Completed"	""	""	""	"F"	"89"	""	""	"alive"	""	""	"44442"	"ab"	""	"Alive"	"44443"	"2016-01-01 00:00:00.0"	""	"dbeb95c1-b8ba-102d-8c2a-9926f351b9af"	"2010-06-22 00:00:00"	"AC5003"	"6.44"	""	"2013-10-02 00:00:00"	"p"	"44444"	"2010-07-27 12:00:00"	"MMU"	"ab ovo usque ad mala"	"2011-02-12 14:49:00"	""	""	""	""	""
"2009-04-22 00:00:00.0"	"2011-05-19 05:59:00.0"	""	""	""	"Completed"	""	""	""	"M"	"43"	""	""	"d-expr"	"2015-07-22 00:00:00"	""	"44442"	"ab"	""	"Dead"	"44443"	"2016-01-01 00:00:00.0"	""	"dbeb95c1-b8ba-102d-8c2a-9926f351b9a4"	"2011-05-22 00:00:00"	"AC5003"	"6.55"	""	"2013-09-02 00:00:00"	"p"	"44445"	"2011-07-29 12:00:00"	"MMU"	"multum in parvo"	"2012-01-15 13:49:00"	""	""	""	""	""
"2008-09-12 00:00:00.0"	"2011-04-19 05:09:00.0"	""	""	""	"Completed"	"partial left leg amputation"	""	""	"F"	"X4"	""	""	"alive"	""	""	"44442"	"ab"	""	"Alive"	"44443"	""	""	"dbeb95c1-b8ba-102d-8c2a-9926f351b9a1"	"2016-01-11 00:00:00"	"3105069"	"7.66"	""	"2013-09-09 00:00:00"	""	"44446"	"2011-06-29 12:00:00"	"MMU"	"nihil novi"	"2012-01-19 13:49:00"	""	""	"2"	""	""
"2009-03-09 00:00:00.0"	"2011-05-13 05:59:00.0"	""	""	""	"Completed"	""	""	""	"F"	"89"	""	""	"alive"	""	""	"44442"	"ab"	""	"Alive"	"44443"	"2016-01-01 00:00:00.0"	""	"dbeb95c1-b8ba-102d-8c2a-9926f351b9be"	"2010-02-12 00:00:00"	"AC5003"	"6.44"	""	"2013-10-02 00:00:00"	"p"	"TSTCP"	"2010-07-27 12:00:00"	"MMU"	"ab ovo usque ad mala"	"2011-02-12 14:49:00"	""	""	"1"	""	""
