code	primaryCategory	secondaryCategory
E-72001	CLINICAL TREATMENT	Etiology
E-71870	CLINICAL TREATMENT	Etiology
E-YY125	CLINICAL TREATMENT	Etiology
E-72620	CLINICAL TREATMENT	Etiology
E-87201	CLINICAL TREATMENT	Etiology
E-84731	CLINICAL TREATMENT	Etiology
E-84730	CLINICAL TREATMENT	Etiology
E-YY078	CLINICAL TREATMENT	Etiology
E-86040	CLINICAL TREATMENT	Etiology
E-YY085	CLINICAL TREATMENT	Etiology
E-74681	CLINICAL TREATMENT	Etiology
E-82661	CLINICAL TREATMENT	Etiology
E-72720	CLINICAL TREATMENT	Etiology
E-84810	CLINICAL TREATMENT	Etiology
E-80620	CLINICAL TREATMENT	Etiology
E-82660	CLINICAL TREATMENT	Etiology
E-85550	CLINICAL TREATMENT	Etiology
E-YY254	CLINICAL TREATMENT	Etiology
E-YY256	CLINICAL TREATMENT	Etiology
E-YY248	CLINICAL TREATMENT	Etiology
J-C1410	CLINICAL TREATMENT	Occupation
J-522A0	CLINICAL TREATMENT	Occupation
J-68126	CLINICAL TREATMENT	Occupation
J-YY069	CLINICAL TREATMENT	Occupation
J-56A56	CLINICAL TREATMENT	Occupation
J-C1750	CLINICAL TREATMENT	Occupation
J-C1FAT	CLINICAL TREATMENT	Occupation
J-55810	CLINICAL TREATMENT	Occupation
J-522B8	CLINICAL TREATMENT	Occupation
J-12360	CLINICAL TREATMENT	Occupation
J-31307	CLINICAL TREATMENT	Occupation
J-YY031	CLINICAL TREATMENT	Occupation
J-YY075	CLINICAL TREATMENT	Occupation
J-52B52	CLINICAL TREATMENT	Occupation
J-YY036	CLINICAL TREATMENT	Occupation
J-C2388	CLINICAL TREATMENT	Occupation
J-YY058	CLINICAL TREATMENT	Occupation
J-737X0	CLINICAL TREATMENT	Occupation
J-Y0005	CLINICAL TREATMENT	Occupation
J-YY392	CLINICAL TREATMENT	Occupation
J-98L45	CLINICAL TREATMENT	Occupation
J-13880	CLINICAL TREATMENT	Occupation
J-52E20	CLINICAL TREATMENT	Occupation
J-77715	CLINICAL TREATMENT	Occupation
J-84210	CLINICAL TREATMENT	Occupation
J-YPMPY	CLINICAL TREATMENT	Occupation
J-8576E	CLINICAL TREATMENT	Occupation
J-YY250	CLINICAL TREATMENT	Occupation
E-72550	CLINICAL TREATMENT	Etiology
E-72500	CLINICAL TREATMENT	Etiology
E-73010	CLINICAL TREATMENT	Etiology
E-YY081	CLINICAL TREATMENT	Etiology
E-87500	CLINICAL TREATMENT	Etiology
E-85260	CLINICAL TREATMENT	Etiology
E-73820	CLINICAL TREATMENT	Etiology
E-87690	CLINICAL TREATMENT	Etiology
E-52120	CLINICAL TREATMENT	Etiology
E-X0003	CLINICAL TREATMENT	Etiology
E-84210	CLINICAL TREATMENT	Etiology
E-85310	CLINICAL TREATMENT	Etiology
E-YY247	CLINICAL TREATMENT	Etiology
P-YY104	CLINICAL TREATMENT	Procedure
P-YY029	CLINICAL TREATMENT	Procedure
J-84066	CLINICAL TREATMENT	Occupation
J-C165B	CLINICAL TREATMENT	Occupation
J-C1866	CLINICAL TREATMENT	Occupation
J-C11C4	CLINICAL TREATMENT	Occupation
J-YY112	CLINICAL TREATMENT	Occupation
J-YX001	CLINICAL TREATMENT	Occupation
J-TRIMO	CLINICAL TREATMENT	Occupation
J-YY142	CLINICAL TREATMENT	Occupation
J-YDEPO	CLINICAL TREATMENT	Occupation
J-YY125	CLINICAL TREATMENT	Occupation
J-YY154	CLINICAL TREATMENT	Occupation
J-E7798	CLINICAL TREATMENT	Occupation
J-YY035	CLINICAL TREATMENT	Occupation
J-E8536	CLINICAL TREATMENT	Occupation
J-82301	CLINICAL TREATMENT	Occupation
J-DY001	CLINICAL TREATMENT	Occupation
J-YD014	CLINICAL TREATMENT	Occupation
J-YYT01	CLINICAL TREATMENT	Occupation
J-YYCEL	CLINICAL TREATMENT	Occupation
J-YY902	CLINICAL TREATMENT	Occupation
J-YY215	CLINICAL TREATMENT	Occupation
T-03000	CLINICAL TREATMENT	Topography
T-YY014	CLINICAL TREATMENT	Topography
E-77911	CLINICAL TREATMENT	Etiology
E-721X0	CLINICAL TREATMENT	Etiology
E-72042	CLINICAL TREATMENT	Etiology
E-YY079	CLINICAL TREATMENT	Etiology
E-72041	CLINICAL TREATMENT	Etiology
E-79710	CLINICAL TREATMENT	Etiology
E-82550	CLINICAL TREATMENT	Etiology
E-85370	CLINICAL TREATMENT	Etiology
E-82551	CLINICAL TREATMENT	Etiology
E-72430	CLINICAL TREATMENT	Etiology
E-70310	CLINICAL TREATMENT	Etiology
E-78860	CLINICAL TREATMENT	Etiology
E-YY225	CLINICAL TREATMENT	Etiology
J-C13DO	CLINICAL TREATMENT	Occupation
J-YY052	CLINICAL TREATMENT	Occupation
J-YY090	CLINICAL TREATMENT	Occupation
J-84700	CLINICAL TREATMENT	Occupation
J-C1600	CLINICAL TREATMENT	Occupation
J-YY030	CLINICAL TREATMENT	Occupation
J-C1412	CLINICAL TREATMENT	Occupation
J-680F6	CLINICAL TREATMENT	Occupation
J-C19D0	CLINICAL TREATMENT	Occupation
J-F0256	CLINICAL TREATMENT	Occupation
J-YY111	CLINICAL TREATMENT	Occupation
J-Y7U24	CLINICAL TREATMENT	Occupation
J-8445E	CLINICAL TREATMENT	Occupation
J-CY001	CLINICAL TREATMENT	Occupation
J-E8604	CLINICAL TREATMENT	Occupation
J-YYC28	CLINICAL TREATMENT	Occupation
J-YY243	CLINICAL TREATMENT	Occupation
J-YY258	CLINICAL TREATMENT	Occupation
T-YY015	CLINICAL TREATMENT	Topography
T-XX020	CLINICAL TREATMENT	Topography
E-71820	CLINICAL TREATMENT	Etiology
E-74180	CLINICAL TREATMENT	Etiology
E-73011	CLINICAL TREATMENT	Etiology
E-72603	CLINICAL TREATMENT	Etiology
E-YY128	CLINICAL TREATMENT	Etiology
E-87790	CLINICAL TREATMENT	Etiology
E-87431	CLINICAL TREATMENT	Etiology
E-YY084	CLINICAL TREATMENT	Etiology
E-89200	CLINICAL TREATMENT	Etiology
E-76570	CLINICAL TREATMENT	Etiology
E-75471	CLINICAL TREATMENT	Etiology
E-867X0	CLINICAL TREATMENT	Etiology
E-88450	CLINICAL TREATMENT	Etiology
E-YY252	CLINICAL TREATMENT	Etiology
E-70000	CLINICAL TREATMENT	Etiology
J-C1388	CLINICAL TREATMENT	Occupation
J-53731	CLINICAL TREATMENT	Occupation
J-23291	CLINICAL TREATMENT	Occupation
J-D4094	CLINICAL TREATMENT	Occupation
J-C1B6A	CLINICAL TREATMENT	Occupation
J-YY032	CLINICAL TREATMENT	Occupation
J-YY049	CLINICAL TREATMENT	Occupation
J-YY048	CLINICAL TREATMENT	Occupation
J-C1B20	CLINICAL TREATMENT	Occupation
J-C243A	CLINICAL TREATMENT	Occupation
J-YY100	CLINICAL TREATMENT	Occupation
J-YY089	CLINICAL TREATMENT	Occupation
J-YY047	CLINICAL TREATMENT	Occupation
J-C21B6	CLINICAL TREATMENT	Occupation
J-YY103	CLINICAL TREATMENT	Occupation
J-60010	CLINICAL TREATMENT	Occupation
J-F2031	CLINICAL TREATMENT	Occupation
J-1FLOI	CLINICAL TREATMENT	Occupation
J-YC928	CLINICAL TREATMENT	Occupation
J-913A4	CLINICAL TREATMENT	Occupation
J-EY084	CLINICAL TREATMENT	Occupation
J-C1EC6	CLINICAL TREATMENT	Occupation
J-YYS45	CLINICAL TREATMENT	Occupation
J-F1216	CLINICAL TREATMENT	Occupation
T-51000	CLINICAL TREATMENT	Topography
T-YY012	CLINICAL TREATMENT	Topography
T-YY016	CLINICAL TREATMENT	Topography
E-72420	CLINICAL TREATMENT	Etiology
E-74020	CLINICAL TREATMENT	Etiology
E-77980	CLINICAL TREATMENT	Etiology
E-87510	CLINICAL TREATMENT	Etiology
E-80410	CLINICAL TREATMENT	Etiology
E-71620	CLINICAL TREATMENT	Etiology
E-YY082	CLINICAL TREATMENT	Etiology
E-85360	CLINICAL TREATMENT	Etiology
E-82552	CLINICAL TREATMENT	Etiology
E-77710	CLINICAL TREATMENT	Etiology
E-82070	CLINICAL TREATMENT	Etiology
E-50150	CLINICAL TREATMENT	Etiology
E-72600	CLINICAL TREATMENT	Etiology
E-72040	CLINICAL TREATMENT	Etiology
E-84190	CLINICAL TREATMENT	Etiology
E-89190	CLINICAL TREATMENT	Etiology
E-YY129	CLINICAL TREATMENT	Etiology
E-82301	CLINICAL TREATMENT	Etiology
E-73840	CLINICAL TREATMENT	Etiology
E-87650	CLINICAL TREATMENT	Etiology
E-87520	CLINICAL TREATMENT	Etiology
E-X0002	CLINICAL TREATMENT	Etiology
E-87740	CLINICAL TREATMENT	Etiology
E-YY226	CLINICAL TREATMENT	Etiology
E-85780	CLINICAL TREATMENT	Etiology
E-76030	CLINICAL TREATMENT	Etiology
E-YY255	CLINICAL TREATMENT	Etiology
E-85820	CLINICAL TREATMENT	Etiology
E-84340	CLINICAL TREATMENT	Etiology
P-YY101	CLINICAL TREATMENT	Procedure
P-YY105	CLINICAL TREATMENT	Procedure
J-53561	CLINICAL TREATMENT	Occupation
J-YY078	CLINICAL TREATMENT	Occupation
J-84200	CLINICAL TREATMENT	Occupation
J-67129	CLINICAL TREATMENT	Occupation
J-YY068	CLINICAL TREATMENT	Occupation
J-68496	CLINICAL TREATMENT	Occupation
J-YY093	CLINICAL TREATMENT	Occupation
J-YY040	CLINICAL TREATMENT	Occupation
J-YY033	CLINICAL TREATMENT	Occupation
J-YY050	CLINICAL TREATMENT	Occupation
J-56560	CLINICAL TREATMENT	Occupation
J-4667V	CLINICAL TREATMENT	Occupation
J-DIARS	CLINICAL TREATMENT	Occupation
J-72550	CLINICAL TREATMENT	Occupation
J-PC002	CLINICAL TREATMENT	Occupation
J-C1DF1	CLINICAL TREATMENT	Occupation
J-YY151	CLINICAL TREATMENT	Occupation
J-72E01	CLINICAL TREATMENT	Occupation
J-7255E	CLINICAL TREATMENT	Occupation
J-726E3	CLINICAL TREATMENT	Occupation
J-EY083	CLINICAL TREATMENT	Occupation
J-YY210	CLINICAL TREATMENT	Occupation
J-YV001	CLINICAL TREATMENT	Occupation
J-YY224	CLINICAL TREATMENT	Occupation
T-XX180	CLINICAL TREATMENT	Topography
E-72601	CLINICAL TREATMENT	Etiology
E-X0005	CLINICAL TREATMENT	Etiology
E-87601	CLINICAL TREATMENT	Etiology
E-76031	CLINICAL TREATMENT	Etiology
E-YY127	CLINICAL TREATMENT	Etiology
E-77510	CLINICAL TREATMENT	Etiology
E-YY130	CLINICAL TREATMENT	Etiology
E-79190	CLINICAL TREATMENT	Etiology
E-74270	CLINICAL TREATMENT	Etiology
E-87600	CLINICAL TREATMENT	Etiology
E-X0220	CLINICAL TREATMENT	Etiology
E-85440	CLINICAL TREATMENT	Etiology
E-84371	CLINICAL TREATMENT	Etiology
E-YY219	CLINICAL TREATMENT	Etiology
E-YY131	CLINICAL TREATMENT	Etiology
E-YY253	CLINICAL TREATMENT	Etiology
E-80490	CLINICAL TREATMENT	Etiology
P-YY110	CLINICAL TREATMENT	Procedure
J-55960	CLINICAL TREATMENT	Occupation
J-C1EC0	CLINICAL TREATMENT	Occupation
J-C1EDM	CLINICAL TREATMENT	Occupation
J-YY055	CLINICAL TREATMENT	Occupation
J-C13CC	CLINICAL TREATMENT	Occupation
J-D2219	CLINICAL TREATMENT	Occupation
J-C1EA0	CLINICAL TREATMENT	Occupation
J-C21EM	CLINICAL TREATMENT	Occupation
J-C1A40	CLINICAL TREATMENT	Occupation
J-FF224	CLINICAL TREATMENT	Occupation
J-52580	CLINICAL TREATMENT	Occupation
J-C1870	CLINICAL TREATMENT	Occupation
J-84020	CLINICAL TREATMENT	Occupation
J-YY066	CLINICAL TREATMENT	Occupation
J-YY010	CLINICAL TREATMENT	Occupation
J-23241	CLINICAL TREATMENT	Occupation
J-Y7384	CLINICAL TREATMENT	Occupation
J-YY138	CLINICAL TREATMENT	Occupation
J-726E1	CLINICAL TREATMENT	Occupation
J-EY081	CLINICAL TREATMENT	Occupation
J-YA181	CLINICAL TREATMENT	Occupation
J-PC004	CLINICAL TREATMENT	Occupation
J-73E1E	CLINICAL TREATMENT	Occupation
J-E7272	CLINICAL TREATMENT	Occupation
J-YY029	CLINICAL TREATMENT	Occupation
J-YY251	CLINICAL TREATMENT	Occupation
J-8234E	CLINICAL TREATMENT	Occupation
T-54290	DENTISTRY	Topography
T-54410	DENTISTRY	Topography
T-54994	DENTISTRY	Topography
T-54984	DENTISTRY	Topography
T-Y8800	DENTISTRY	Topography
M-39500	DENTISTRY	Morphology
M-54310	DENTISTRY	Morphology
F-87030	DENTISTRY	Function
F-60410	DENTISTRY	Function
F-60400	DENTISTRY	Function
P-63360	DENTISTRY	Procedure
P-17060	DENTISTRY	Procedure
P-17800	DENTISTRY	Procedure
T-54490	DENTISTRY	Topography
T-54250	DENTISTRY	Topography
T-54390	DENTISTRY	Topography
T-54000	DENTISTRY	Topography
T-54380	DENTISTRY	Topography
T-54550	DENTISTRY	Topography
M-41740	DENTISTRY	Morphology
M-40000	DENTISTRY	Morphology
M-X1114	DENTISTRY	Morphology
M-YY724	DENTISTRY	Morphology
F-04540	DENTISTRY	Function
P-16100	DENTISTRY	Procedure
P-81628	DENTISTRY	Procedure
P-11040	DENTISTRY	Procedure
P-YY007	DENTISTRY	Procedure
T-54420	DENTISTRY	Topography
T-54881	DENTISTRY	Topography
T-54460	DENTISTRY	Topography
T-54900	DENTISTRY	Topography
T-Y8700	DENTISTRY	Topography
T-03450	DENTISTRY	Topography
M-41770	DENTISTRY	Morphology
M-18770	DENTISTRY	Morphology
M-X1112	DENTISTRY	Morphology
M-YY726	DENTISTRY	Morphology
M-YY723	DENTISTRY	Morphology
M-YY727	DENTISTRY	Morphology
M-14100	DENTISTRY	Morphology
F-39760	DENTISTRY	Function
F-89380	DENTISTRY	Function
F-YY015	DENTISTRY	Function
F-60430	DENTISTRY	Function
P-X0000	DENTISTRY	Procedure
P-62300	DENTISTRY	Procedure
P-15030	DENTISTRY	Procedure
P-81624	DENTISTRY	Procedure
T-54260	DENTISTRY	Topography
T-54320	DENTISTRY	Topography
T-54590	DENTISTRY	Topography
T-54360	DENTISTRY	Topography
T-54180	DENTISTRY	Topography
T-54890	DENTISTRY	Topography
T-54870	DENTISTRY	Topography
T-Y9800	DENTISTRY	Topography
M-1PULP	DENTISTRY	Morphology
M-01100	DENTISTRY	Morphology
M-02630	DENTISTRY	Morphology
M-03000	DENTISTRY	Morphology
M-YY725	DENTISTRY	Morphology
E-YY154	DENTISTRY	Etiology
E-YYDNS	DENTISTRY	Etiology
F-60420	DENTISTRY	Function
F-01830	DENTISTRY	Function
F-01790	DENTISTRY	Function
P-60310	DENTISTRY	Procedure
P-11000	DENTISTRY	Procedure
P-80030	DENTISTRY	Procedure
P-02600	DENTISTRY	Procedure
P-YY116	DENTISTRY	Procedure
P-YY157	DENTISTRY	Procedure
P-YY100	DENTISTRY	Procedure
P-BLUNT	DENTISTRY	Procedure
P-11400	DENTISTRY	Procedure
P-Y0101	DENTISTRY	Procedure
P-11010	DENTISTRY	Procedure
T-54310	DENTISTRY	Topography
T-54340	DENTISTRY	Topography
T-54240	DENTISTRY	Topography
T-54220	DENTISTRY	Topography
T-54860	DENTISTRY	Topography
T-54920	DENTISTRY	Topography
T-54010	DENTISTRY	Topography
T-Y1100	DENTISTRY	Topography
T-50500	DENTISTRY	Topography
E-Y2222	DENTISTRY	Etiology
F-YY014	DENTISTRY	Function
F-62400	DENTISTRY	Function
D-01760	DENTISTRY	Disease
P-62200	DENTISTRY	Procedure
P-60200	DENTISTRY	Procedure
P-16000	DENTISTRY	Procedure
P-62330	DENTISTRY	Procedure
P-04540	DENTISTRY	Procedure
J-YY178	DENTISTRY	Occupation
T-54470	DENTISTRY	Topography
T-51020	DENTISTRY	Topography
T-54060	DENTISTRY	Topography
T-54430	DENTISTRY	Topography
T-54450	DENTISTRY	Topography
T-54500	DENTISTRY	Topography
T-54981	DENTISTRY	Topography
T-54370	DENTISTRY	Topography
T-0X000	DENTISTRY	Topography
M-54000	DENTISTRY	Morphology
M-12000	DENTISTRY	Morphology
M-39400	DENTISTRY	Morphology
M-72000	DENTISTRY	Morphology
M-X1111	DENTISTRY	Morphology
M-21800	DENTISTRY	Morphology
F-YY116	DENTISTRY	Function
D-Y1149	DENTISTRY	Disease
P-60220	DENTISTRY	Procedure
P-60210	DENTISTRY	Procedure
P-61000	DENTISTRY	Procedure
P-X0600	DENTISTRY	Procedure
P-YY117	DENTISTRY	Procedure
P-85235	DENTISTRY	Procedure
J-YA181	DENTISTRY	Occupation
T-54330	DENTISTRY	Topography
T-54280	DENTISTRY	Topography
T-54210	DENTISTRY	Topography
T-54350	DENTISTRY	Topography
T-54940	DENTISTRY	Topography
T-54510	DENTISTRY	Topography
T-54520	DENTISTRY	Topography
T-54930	DENTISTRY	Topography
T-64310	DENTISTRY	Topography
F-Y6100	DENTISTRY	Function
T-54480	DENTISTRY	Topography
T-54440	DENTISTRY	Topography
T-54230	DENTISTRY	Topography
T-54190	DENTISTRY	Topography
T-51000	DENTISTRY	Topography
T-54840	DENTISTRY	Topography
T-Y0200	DENTISTRY	Topography
T-54600	DENTISTRY	Topography
T-00010	DENTISTRY	Topography
M-46240	DENTISTRY	Morphology
M-30000	DENTISTRY	Morphology
M-02570	DENTISTRY	Morphology
M-14400	DENTISTRY	Morphology
F-05450	DENTISTRY	Function
P-62220	DENTISTRY	Procedure
P-54000	DENTISTRY	Procedure
P-11100	DENTISTRY	Procedure
P-20100	DENTISTRY	Procedure
T-YY012	DIETARY THERAPY/VTMN	Topography
E-87601	DIETARY THERAPY/VTMN	Etiology
E-87510	DIETARY THERAPY/VTMN	Etiology
E-87790	DIETARY THERAPY/VTMN	Etiology
E-YY253	DIETARY THERAPY/VTMN	Etiology
J-FF221	DIETARY THERAPY/VTMN	Occupation
J-C1412	DIETARY THERAPY/VTMN	Occupation
J-F0256	DIETARY THERAPY/VTMN	Occupation
T-XX010	DIETARY THERAPY/VTMN	Topography
E-70000	DIETARY THERAPY/VTMN	Etiology
P-YY110	DIETARY THERAPY/VTMN	Procedure
J-YY078	DIETARY THERAPY/VTMN	Occupation
J-YY093	DIETARY THERAPY/VTMN	Occupation
J-C1EC0	DIETARY THERAPY/VTMN	Occupation
J-YY045	DIETARY THERAPY/VTMN	Occupation
T-51000	DIETARY THERAPY/VTMN	Topography
T-03000	DIETARY THERAPY/VTMN	Topography
J-C1410	DIETARY THERAPY/VTMN	Occupation
J-YY098	DIETARY THERAPY/VTMN	Occupation
T-21000	DIETARY THERAPY/VTMN	Topography
E-84731	DIETARY THERAPY/VTMN	Etiology
E-87500	DIETARY THERAPY/VTMN	Etiology
E-YY252	DIETARY THERAPY/VTMN	Etiology
J-YY062	DIETARY THERAPY/VTMN	Occupation
E-84730	DIETARY THERAPY/VTMN	Etiology
E-87720	DIETARY THERAPY/VTMN	Etiology
E-72001	DIETARY THERAPY/VTMN	Etiology
E-84840	DIETARY THERAPY/VTMN	Etiology
E-77980	DIETARY THERAPY/VTMN	Etiology
P-Y3301	DIETARY THERAPY/VTMN	Procedure
P-YY112	DIETARY THERAPY/VTMN	Procedure
E-87280	DIETARY THERAPY/VTMN	Etiology
E-87501	DIETARY THERAPY/VTMN	Etiology
E-77510	DIETARY THERAPY/VTMN	Etiology
P-YY103	DIETARY THERAPY/VTMN	Procedure
P-YY104	DIETARY THERAPY/VTMN	Procedure
J-C1388	DIETARY THERAPY/VTMN	Occupation
E-87201	DIETARY THERAPY/VTMN	Etiology
E-84780	DIETARY THERAPY/VTMN	Etiology
E-87600	DIETARY THERAPY/VTMN	Etiology
E-721X0	DIETARY THERAPY/VTMN	Etiology
J-31307	DIETARY THERAPY/VTMN	Occupation
J-YY053	DIETARY THERAPY/VTMN	Occupation
E-X0005	DIETARY THERAPY/VTMN	Etiology
E-50150	DIETARY THERAPY/VTMN	Etiology
E-72601	DIETARY THERAPY/VTMN	Etiology
E-74020	DIETARY THERAPY/VTMN	Etiology
T-54010	DISCHARGE DIAGNOSIS	Topography
T-Y9400	DISCHARGE DIAGNOSIS	Topography
T-Y8300	DISCHARGE DIAGNOSIS	Topography
T-Y8600	DISCHARGE DIAGNOSIS	Topography
T-51000	DISCHARGE DIAGNOSIS	Topography
T-76000	DISCHARGE DIAGNOSIS	Topography
T-20100	DISCHARGE DIAGNOSIS	Topography
T-71000	DISCHARGE DIAGNOSIS	Topography
T-78800	DISCHARGE DIAGNOSIS	Topography
T-XX200	DISCHARGE DIAGNOSIS	Topography
T-Y8000	DISCHARGE DIAGNOSIS	Topography
T-00001	DISCHARGE DIAGNOSIS	Topography
T-11740	DISCHARGE DIAGNOSIS	Topography
T-Y8780	DISCHARGE DIAGNOSIS	Topography
T-02487	DISCHARGE DIAGNOSIS	Topography
